network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id
SNTL,UT,big flat ,Three Creeks (160300070202),1978-10-01,2023-05-07,38.3,-112.36,3154,Beaver,339
SNTL,UT,box creek ,Greenwich Creek (160300020106),1979-08-01,2023-05-07,38.51,-112.02,3003,Sevier,364
SNTL,UT,brown duck ,Brown Duck Creek-Lake Fork River (140600030604),1978-10-01,2023-05-07,40.58,-110.59,3223,Duchesne,368
SNTL,UT,buck flat ,Ferron Reservoir-Ferron Creek (140600090302),1978-10-01,2023-05-07,39.13,-111.44,2868,Sanpete,371
SNTL,UT,bug lake ,Laketown Canyon (160102010102),1978-10-01,2023-05-07,41.69,-111.42,2434,Rich,374
SNTL,UT,chalk creek #1 ,East Fork Chalk Creek (160201010301),1978-10-01,2023-05-07,40.85,-111.05,2795,Summit,392
SNTL,UT,chalk creek #2 ,East Fork Chalk Creek (160201010301),1978-10-01,2023-05-07,40.89,-111.07,2502,Summit,393
SNTL,UT,clear creek #2 ,Upper Soldier Creek (160202020102),1978-10-01,2023-05-07,39.89,-111.25,2389,Utah,400
SNTL,UT,currant creek ,Current Creek Reservoir (140600040401),1978-10-01,2023-05-07,40.36,-111.09,2412,Wasatch,432
SNTL,UT,daniels-strawberry ,Willow Creek-Strawberry River (140600040101),1978-10-01,2023-05-07,40.3,-111.26,2441,Wasatch,435
SNTL,UT,dills camp ,Beaver Creek (140700020201),1978-10-01,2023-05-07,39.05,-111.47,2813,Sanpete,444
SNTL,UT,dry bread pond ,Headwaters East Fork Little Bear River Canyon (160102030101),1978-10-01,2023-05-07,41.41,-111.54,2530,Cache,455
SNTL,UT,farmington ,Farmington Creek-Frontal Farmington Bay (160201020502),1978-10-01,2023-05-07,40.97,-111.81,2409,Davis,474
SNTL,UT,gooseberry rs ,Gooseberry Creek (160300030405),1979-06-01,2023-05-07,38.8,-111.68,2421,Sevier,495
SNTL,UT,harris flat ,Swains Creek (160300010104),1979-08-01,2023-05-07,37.49,-112.58,2375,Kane,514
SNTL,UT,hayden fork ,Hayden Fork (160101010101),1978-10-01,2023-05-07,40.8,-110.88,2783,Summit,517
SNTL,UT,horse ridge ,Blue Fork Creek (160201010601),1978-10-01,2023-05-07,41.31,-111.45,2499,Morgan,533
SNTL,UT,kings cabin ,Middle Little Brush Creek (140600100303),1978-10-01,2023-05-07,40.72,-109.54,2660,Uintah,559
SNTL,UT,kolob ,Crystal Creek (150100080102),1978-10-01,2023-05-07,37.53,-113.05,2823,Iron,561
SNTL,UT,lakefork #1 ,Crystal Creek-Yellowstone River (140600030705),1978-10-01,2023-05-07,40.6,-110.43,3087,Duchesne,566
SNTL,UT,little bear ,South Fork Little Bear River (160102030103),1978-10-01,2023-05-07,41.41,-111.83,1996,Cache,582
SNTL,UT,long flat ,Pinto Creek (160300061403),1979-09-01,2023-05-07,37.51,-113.4,2433,Washington,592
SNTL,UT,mammoth-cottonwood ,Cottonwood Canyon-San Pitch River (160300040203),1978-10-01,2023-05-07,39.68,-111.32,2655,Sanpete,612
